,Lon,Lat,Address
126,30.214574,59.830178,"Стойкости, 11"
127,30.417009,59.925398,"Таллинская, 22"
128,30.375148,59.926165,"Тележная, 20"
129,30.331193,59.853437,"Типанова, 9"
130,30.399447,59.870348,"Турку, 22к2"
131,30.394183,60.000443,"Фаворского, 18"
132,30.477924,59.936535,"Хасанская, 1"
133,30.368204,60.000843,"Хлопина, 3"
134,30.343123,60.036407,"Художников, 10к1"
135,30.345791,59.946356,"Чайковского, 11"
136,30.425876,60.029063,"Черкасова, 19"
137,30.425876,60.029063,"Черкасова, 19к1"
138,30.510165,59.834515,"Шлиссельбургский пр., 37"
139,30.378418,59.804984,"Шушары, Пушкинская, 36"
140,30.296581,60.028631,"Щербакова, 11"
141,30.406014,59.836965,"Ярослава Гашека, 16"
142,30.315868,59.939095,площадь Пулково-1
