№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
56,Авиаконструкторов пр.,49,30.223611,60.027898,Учебный пер.,5,30.336763,60.037252,2169.0
57,Авиаконструкторов пр.,49,30.223611,60.027898,наб. реки Фонтанки,154,30.28255,59.915765,2552.181818181818
58,Аллея Поликарпова,5,30.289485,60.008878,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1779.6363636363637
59,Аллея Поликарпова,5,30.289485,60.008878,Будапештская,3,30.36382,59.873704000000004,3039.0
60,Аллея Поликарпова,5,30.289485,60.008878,Вавиловых,14,30.390563,60.024752,1573.5454545454545
61,Аллея Поликарпова,5,30.289485,60.008878,Динамо пр.,3,30.279864,59.972699,1130.1818181818182
62,Аллея Поликарпова,5,30.289485,60.008878,Загородный просп.,47,30.321195,59.921804,1952.0
63,Аллея Поликарпова,5,30.289485,60.008878,Костюшко,2,30.295701,59.849212,3326.6363636363635
64,Аллея Поликарпова,5,30.289485,60.008878,Кузнецовская,25,30.332577,59.87143199999999,2826.181818181818
65,Аллея Поликарпова,5,30.289485,60.008878,Литейный просп.,56,30.349456,59.935069999999996,1612.7272727272727
66,Аллея Поликарпова,5,30.289485,60.008878,Луначарского пр.,47,30.360164,60.036281,1633.3636363636363
67,Аллея Поликарпова,5,30.289485,60.008878,Льва Толстого,6/8,30.321859999999997,59.965309,1448.7272727272727
68,Аллея Поликарпова,5,30.289485,60.008878,Мечникова пр.,27,30.410891999999997,59.986982999999995,1469.090909090909
69,Аллея Поликарпова,5,30.289485,60.008878,Народная,21,30.468124,59.879137,2549.7272727272725
70,Аллея Поликарпова,5,30.289485,60.008878,Оптиков,54,30.199033,60.000713,1309.5454545454545
71,Аллея Поликарпова,5,30.289485,60.008878,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1785.4545454545455
72,Аллея Поликарпова,5,30.289485,60.008878,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2455.7272727272725
73,Аллея Поликарпова,5,30.289485,60.008878,Учебный пер.,5,30.336763,60.037252,1544.3636363636363
74,Аллея Поликарпова,5,30.289485,60.008878,наб. реки Фонтанки,154,30.28255,59.915765,2111.3636363636365
75,Антонова-Овсеенко,21,30.473019,59.908922,Аккуратова,2,30.301594,60.015377,2278.4545454545455
76,Антонова-Овсеенко,21,30.473019,59.908922,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2366.222222222222
77,Антонова-Овсеенко,21,30.473019,59.908922,Будапештская,3,30.36382,59.873704000000004,1647.4545454545455
78,Антонова-Овсеенко,21,30.473019,59.908922,Вавиловых,14,30.390563,60.024752,2009.0
79,Антонова-Овсеенко,21,30.473019,59.908922,Динамо пр.,3,30.279864,59.972699,2268.4545454545455
80,Антонова-Овсеенко,21,30.473019,59.908922,Загородный просп.,47,30.321195,59.921804,1554.7272727272727
81,Антонова-Овсеенко,21,30.473019,59.908922,Костюшко,2,30.295701,59.849212,2015.909090909091
82,Антонова-Овсеенко,21,30.473019,59.908922,Кузнецовская,25,30.332577,59.87143199999999,1713.4545454545455
83,Антонова-Овсеенко,21,30.473019,59.908922,Литейный просп.,56,30.349456,59.935069999999996,1325.2727272727273
84,Антонова-Овсеенко,21,30.473019,59.908922,Луначарского пр.,47,30.360164,60.036281,2106.0
85,Антонова-Овсеенко,21,30.473019,59.908922,Льва Толстого,6/8,30.321859999999997,59.965309,1744.2727272727273
86,Антонова-Овсеенко,21,30.473019,59.908922,Мечникова пр.,27,30.410891999999997,59.986982999999995,1305.6363636363637
87,Антонова-Овсеенко,21,30.473019,59.908922,Народная,21,30.468124,59.879137,889.9090909090909
88,Антонова-Овсеенко,21,30.473019,59.908922,Оптиков,54,30.199033,60.000713,2572.181818181818
89,Антонова-Овсеенко,21,30.473019,59.908922,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1298.6363636363637
90,Антонова-Овсеенко,21,30.473019,59.908922,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3296.909090909091
