№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
55,Авиаконструкторов пр.,49,30.223611,60.027898,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2927.6111111111113
56,Авиаконструкторов пр.,49,30.223611,60.027898,Будапештская,3,30.36382,59.873704000000004,3949.277777777778
57,Авиаконструкторов пр.,49,30.223611,60.027898,Вавиловых,14,30.390563,60.024752,2340.722222222222
58,Авиаконструкторов пр.,49,30.223611,60.027898,Динамо пр.,3,30.279864,59.972699,2076.1111111111113
59,Авиаконструкторов пр.,49,30.223611,60.027898,Загородный просп.,47,30.321195,59.921804,2783.0555555555557
60,Авиаконструкторов пр.,49,30.223611,60.027898,Костюшко,2,30.295701,59.849212,4378.166666666667
61,Авиаконструкторов пр.,49,30.223611,60.027898,Кузнецовская,25,30.332577,59.87143199999999,3705.1111111111113
62,Авиаконструкторов пр.,49,30.223611,60.027898,Литейный просп.,56,30.349456,59.935069999999996,2302.5555555555557
63,Авиаконструкторов пр.,49,30.223611,60.027898,Луначарского пр.,47,30.360164,60.036281,2482.777777777778
64,Авиаконструкторов пр.,49,30.223611,60.027898,Льва Толстого,6/8,30.321859999999997,59.965309,1857.6666666666667
65,Авиаконструкторов пр.,49,30.223611,60.027898,Мечникова пр.,27,30.410891999999997,59.986982999999995,2553.722222222222
66,Авиаконструкторов пр.,49,30.223611,60.027898,Народная,21,30.468124,59.879137,3254.5555555555557
67,Авиаконструкторов пр.,49,30.223611,60.027898,Оптиков,54,30.199033,60.000713,1310.6666666666667
68,Авиаконструкторов пр.,49,30.223611,60.027898,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2819.0555555555557
69,Авиаконструкторов пр.,49,30.223611,60.027898,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2519.5555555555557
70,Авиаконструкторов пр.,49,30.223611,60.027898,Учебный пер.,5,30.336763,60.037252,2357.0
71,Авиаконструкторов пр.,49,30.223611,60.027898,наб. реки Фонтанки,154,30.28255,59.915765,3232.8888888888887
72,Аллея Поликарпова,5,30.289485,60.008878,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2215.8888888888887
73,Аллея Поликарпова,5,30.289485,60.008878,Будапештская,3,30.36382,59.873704000000004,4220.722222222223
74,Аллея Поликарпова,5,30.289485,60.008878,Вавиловых,14,30.390563,60.024752,1714.888888888889
75,Аллея Поликарпова,5,30.289485,60.008878,Динамо пр.,3,30.279864,59.972699,1369.388888888889
76,Аллея Поликарпова,5,30.289485,60.008878,Загородный просп.,47,30.321195,59.921804,3058.0555555555557
77,Аллея Поликарпова,5,30.289485,60.008878,Костюшко,2,30.295701,59.849212,4095.4444444444443
78,Аллея Поликарпова,5,30.289485,60.008878,Кузнецовская,25,30.332577,59.87143199999999,3465.6666666666665
79,Аллея Поликарпова,5,30.289485,60.008878,Литейный просп.,56,30.349456,59.935069999999996,2578.1666666666665
80,Аллея Поликарпова,5,30.289485,60.008878,Луначарского пр.,47,30.360164,60.036281,1854.111111111111
81,Аллея Поликарпова,5,30.289485,60.008878,Льва Толстого,6/8,30.321859999999997,59.965309,1647.5555555555557
82,Аллея Поликарпова,5,30.289485,60.008878,Мечникова пр.,27,30.410891999999997,59.986982999999995,1926.3333333333333
83,Аллея Поликарпова,5,30.289485,60.008878,Народная,21,30.468124,59.879137,3232.0
84,Аллея Поликарпова,5,30.289485,60.008878,Оптиков,54,30.199033,60.000713,1386.7777777777778
85,Аллея Поликарпова,5,30.289485,60.008878,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2117.4444444444443
86,Аллея Поликарпова,5,30.289485,60.008878,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2569.1111111111113
87,Аллея Поликарпова,5,30.289485,60.008878,Учебный пер.,5,30.336763,60.037252,1727.5
88,Аллея Поликарпова,5,30.289485,60.008878,наб. реки Фонтанки,154,30.28255,59.915765,2715.1111111111113
89,Антонова-Овсеенко,21,30.473019,59.908922,Аккуратова,2,30.301594,60.015377,2985.5
