№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
55,Авиаконструкторов пр.,49,30.223611,60.027898,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2571.3333333333335
56,Авиаконструкторов пр.,49,30.223611,60.027898,Учебный пер.,5,30.336763,60.037252,2893.8888888888887
57,Авиаконструкторов пр.,49,30.223611,60.027898,наб. реки Фонтанки,154,30.28255,59.915765,3755.1666666666665
58,Аллея Поликарпова,5,30.289485,60.008878,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2305.3888888888887
59,Аллея Поликарпова,5,30.289485,60.008878,Будапештская,3,30.36382,59.873704000000004,5398.888888888889
60,Аллея Поликарпова,5,30.289485,60.008878,Вавиловых,14,30.390563,60.024752,1940.611111111111
61,Аллея Поликарпова,5,30.289485,60.008878,Динамо пр.,3,30.279864,59.972699,1509.2777777777778
62,Аллея Поликарпова,5,30.289485,60.008878,Загородный просп.,47,30.321195,59.921804,3494.777777777778
63,Аллея Поликарпова,5,30.289485,60.008878,Костюшко,2,30.295701,59.849212,5353.111111111111
64,Аллея Поликарпова,5,30.289485,60.008878,Кузнецовская,25,30.332577,59.87143199999999,4868.388888888889
65,Аллея Поликарпова,5,30.289485,60.008878,Литейный просп.,56,30.349456,59.935069999999996,2848.0555555555557
66,Аллея Поликарпова,5,30.289485,60.008878,Луначарского пр.,47,30.360164,60.036281,2370.6666666666665
67,Аллея Поликарпова,5,30.289485,60.008878,Льва Толстого,6/8,30.321859999999997,59.965309,1954.388888888889
68,Аллея Поликарпова,5,30.289485,60.008878,Мечникова пр.,27,30.410891999999997,59.986982999999995,2411.5555555555557
69,Аллея Поликарпова,5,30.289485,60.008878,Народная,21,30.468124,59.879137,4321.611111111111
70,Аллея Поликарпова,5,30.289485,60.008878,Оптиков,54,30.199033,60.000713,1622.8333333333333
71,Аллея Поликарпова,5,30.289485,60.008878,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2606.277777777778
72,Аллея Поликарпова,5,30.289485,60.008878,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2813.222222222222
73,Аллея Поликарпова,5,30.289485,60.008878,Учебный пер.,5,30.336763,60.037252,2198.5555555555557
74,Аллея Поликарпова,5,30.289485,60.008878,наб. реки Фонтанки,154,30.28255,59.915765,3351.1666666666665
75,Антонова-Овсеенко,21,30.473019,59.908922,Аккуратова,2,30.301594,60.015377,3817.1111111111113
76,Антонова-Овсеенко,21,30.473019,59.908922,Большой просп. ВО,85,30.250614000000002,59.930178000000005,3575.1666666666665
77,Антонова-Овсеенко,21,30.473019,59.908922,Будапештская,3,30.36382,59.873704000000004,2461.8333333333335
78,Антонова-Овсеенко,21,30.473019,59.908922,Вавиловых,14,30.390563,60.024752,2952.722222222222
79,Антонова-Овсеенко,21,30.473019,59.908922,Динамо пр.,3,30.279864,59.972699,3488.777777777778
80,Антонова-Овсеенко,21,30.473019,59.908922,Загородный просп.,47,30.321195,59.921804,2222.0555555555557
81,Антонова-Овсеенко,21,30.473019,59.908922,Костюшко,2,30.295701,59.849212,2866.4444444444443
82,Антонова-Овсеенко,21,30.473019,59.908922,Кузнецовская,25,30.332577,59.87143199999999,2577.8888888888887
83,Антонова-Овсеенко,21,30.473019,59.908922,Литейный просп.,56,30.349456,59.935069999999996,2425.5
84,Антонова-Овсеенко,21,30.473019,59.908922,Луначарского пр.,47,30.360164,60.036281,3076.8333333333335
85,Антонова-Овсеенко,21,30.473019,59.908922,Льва Толстого,6/8,30.321859999999997,59.965309,2266.277777777778
86,Антонова-Овсеенко,21,30.473019,59.908922,Мечникова пр.,27,30.410891999999997,59.986982999999995,2123.3888888888887
87,Антонова-Овсеенко,21,30.473019,59.908922,Народная,21,30.468124,59.879137,1237.111111111111
88,Антонова-Овсеенко,21,30.473019,59.908922,Оптиков,54,30.199033,60.000713,3943.5
89,Антонова-Овсеенко,21,30.473019,59.908922,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1760.6666666666667
90,Антонова-Овсеенко,21,30.473019,59.908922,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3993.1111111111113
91,Антонова-Овсеенко,21,30.473019,59.908922,Солидарности просп.,4,30.490114000000002,59.92828000000001,649.7777777777778
92,Антонова-Овсеенко,21,30.473019,59.908922,Учебный пер.,5,30.336763,60.037252,3326.777777777778
93,Антонова-Овсеенко,21,30.473019,59.908922,наб. реки Фонтанки,154,30.28255,59.915765,3077.8888888888887
94,Апрельская,5,30.416749,59.962967000000006,Аккуратова,2,30.301594,60.015377,2584.0555555555557
95,Апрельская,5,30.416749,59.962967000000006,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2312.5
96,Апрельская,5,30.416749,59.962967000000006,Будапештская,3,30.36382,59.873704000000004,2933.5555555555557
97,Апрельская,5,30.416749,59.962967000000006,Вавиловых,14,30.390563,60.024752,2126.5555555555557
98,Апрельская,5,30.416749,59.962967000000006,Динамо пр.,3,30.279864,59.972699,2356.9444444444443
99,Апрельская,5,30.416749,59.962967000000006,Загородный просп.,47,30.321195,59.921804,2384.0555555555557
100,Апрельская,5,30.416749,59.962967000000006,Костюшко,2,30.295701,59.849212,3716.277777777778
101,Апрельская,5,30.416749,59.962967000000006,Кузнецовская,25,30.332577,59.87143199999999,3075.5
102,Апрельская,5,30.416749,59.962967000000006,Литейный просп.,56,30.349456,59.935069999999996,1709.2777777777778
103,Апрельская,5,30.416749,59.962967000000006,Луначарского пр.,47,30.360164,60.036281,2254.5555555555557
104,Апрельская,5,30.416749,59.962967000000006,Льва Толстого,6/8,30.321859999999997,59.965309,1304.388888888889
105,Апрельская,5,30.416749,59.962967000000006,Мечникова пр.,27,30.410891999999997,59.986982999999995,716.7222222222222
106,Апрельская,5,30.416749,59.962967000000006,Народная,21,30.468124,59.879137,2013.888888888889
107,Апрельская,5,30.416749,59.962967000000006,Оптиков,54,30.199033,60.000713,2850.5
108,Апрельская,5,30.416749,59.962967000000006,Пискаревский просп.,47,30.431328999999998,59.983422999999995,559.2777777777778
109,Апрельская,5,30.416749,59.962967000000006,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3791.777777777778
110,Апрельская,5,30.416749,59.962967000000006,Солидарности просп.,4,30.490114000000002,59.92828000000001,1908.1666666666667
111,Апрельская,5,30.416749,59.962967000000006,Учебный пер.,5,30.336763,60.037252,2504.0
112,Апрельская,5,30.416749,59.962967000000006,наб. реки Фонтанки,154,30.28255,59.915765,2910.4444444444443
113,Асафьева,12,30.328785999999997,60.04866,Аккуратова,2,30.301594,60.015377,1348.8333333333333
114,Асафьева,12,30.328785999999997,60.04866,Большой просп. ВО,85,30.250614000000002,59.930178000000005,3311.5
115,Асафьева,12,30.328785999999997,60.04866,Будапештская,3,30.36382,59.873704000000004,7524.666666666667
116,Асафьева,12,30.328785999999997,60.04866,Вавиловых,14,30.390563,60.024752,1593.0
117,Асафьева,12,30.328785999999997,60.04866,Динамо пр.,3,30.279864,59.972699,2741.0
118,Асафьева,12,30.328785999999997,60.04866,Загородный просп.,47,30.321195,59.921804,5323.0
119,Асафьева,12,30.328785999999997,60.04866,Костюшко,2,30.295701,59.849212,8234.833333333334
120,Асафьева,12,30.328785999999997,60.04866,Кузнецовская,25,30.332577,59.87143199999999,7731.166666666667
121,Асафьева,12,30.328785999999997,60.04866,Литейный просп.,56,30.349456,59.935069999999996,4095.3333333333335
122,Асафьева,12,30.328785999999997,60.04866,Луначарского пр.,47,30.360164,60.036281,1034.8333333333333
123,Асафьева,12,30.328785999999997,60.04866,Льва Толстого,6/8,30.321859999999997,59.965309,2371.1666666666665
124,Асафьева,12,30.328785999999997,60.04866,Мечникова пр.,27,30.410891999999997,59.986982999999995,2173.5
125,Асафьева,12,30.328785999999997,60.04866,Народная,21,30.468124,59.879137,3289.6666666666665
126,Асафьева,12,30.328785999999997,60.04866,Оптиков,54,30.199033,60.000713,2756.3333333333335
127,Асафьева,12,30.328785999999997,60.04866,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2531.1666666666665
128,Асафьева,12,30.328785999999997,60.04866,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3023.0
129,Асафьева,12,30.328785999999997,60.04866,Учебный пер.,5,30.336763,60.037252,1005.8333333333334
130,Асафьева,12,30.328785999999997,60.04866,наб. реки Фонтанки,154,30.28255,59.915765,6025.666666666667
131,Асафьева,12к1,30.328785999999997,60.04866,Аккуратова,2,30.301594,60.015377,1257.25
132,Асафьева,12к1,30.328785999999997,60.04866,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2879.5
133,Асафьева,12к1,30.328785999999997,60.04866,Будапештская,3,30.36382,59.873704000000004,4861.916666666667
134,Асафьева,12к1,30.328785999999997,60.04866,Вавиловых,14,30.390563,60.024752,1551.8333333333333
135,Асафьева,12к1,30.328785999999997,60.04866,Динамо пр.,3,30.279864,59.972699,2282.6666666666665
136,Асафьева,12к1,30.328785999999997,60.04866,Загородный просп.,47,30.321195,59.921804,3249.75
137,Асафьева,12к1,30.328785999999997,60.04866,Костюшко,2,30.295701,59.849212,5127.25
138,Асафьева,12к1,30.328785999999997,60.04866,Кузнецовская,25,30.332577,59.87143199999999,4742.916666666667
139,Асафьева,12к1,30.328785999999997,60.04866,Литейный просп.,56,30.349456,59.935069999999996,2722.3333333333335
140,Асафьева,12к1,30.328785999999997,60.04866,Луначарского пр.,47,30.360164,60.036281,1001.8333333333334
141,Асафьева,12к1,30.328785999999997,60.04866,Льва Толстого,6/8,30.321859999999997,59.965309,2052.6666666666665
142,Асафьева,12к1,30.328785999999997,60.04866,Мечникова пр.,27,30.410891999999997,59.986982999999995,2026.0
143,Асафьева,12к1,30.328785999999997,60.04866,Народная,21,30.468124,59.879137,3051.25
144,Асафьева,12к1,30.328785999999997,60.04866,Оптиков,54,30.199033,60.000713,2544.1666666666665
145,Асафьева,12к1,30.328785999999997,60.04866,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2724.8333333333335
146,Асафьева,12к1,30.328785999999997,60.04866,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2884.5
147,Асафьева,12к1,30.328785999999997,60.04866,Учебный пер.,5,30.336763,60.037252,963.5833333333334
148,Асафьева,12к1,30.328785999999997,60.04866,наб. реки Фонтанки,154,30.28255,59.915765,3616.8333333333335
149,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Большой просп. ВО,85,30.250614000000002,59.930178000000005,4030.714285714286
150,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Будапештская,3,30.36382,59.873704000000004,2396.0
151,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Вавиловых,14,30.390563,60.024752,4457.428571428572
152,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Динамо пр.,3,30.279864,59.972699,5508.0
153,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Загородный просп.,47,30.321195,59.921804,2838.285714285714
154,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Костюшко,2,30.295701,59.849212,2204.1428571428573
155,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Кузнецовская,25,30.332577,59.87143199999999,2019.0
156,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Литейный просп.,56,30.349456,59.935069999999996,4900.571428571428
157,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Луначарского пр.,47,30.360164,60.036281,4485.142857142857
158,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Льва Толстого,6/8,30.321859999999997,59.965309,6062.428571428572
159,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Мечникова пр.,27,30.410891999999997,59.986982999999995,3577.714285714286
160,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Народная,21,30.468124,59.879137,2558.4285714285716
161,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Оптиков,54,30.199033,60.000713,8680.0
162,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Пискаревский просп.,47,30.431328999999998,59.983422999999995,4177.571428571428
163,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,5023.0
164,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Солидарности просп.,4,30.490114000000002,59.92828000000001,3005.4285714285716
165,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Учебный пер.,5,30.336763,60.037252,4595.857142857143
166,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,наб. реки Фонтанки,154,30.28255,59.915765,2929.5714285714284
167,Бадаева,11,30.443114,59.920975,Большой просп. ВО,85,30.250614000000002,59.930178000000005,3699.6111111111113
168,Бадаева,11,30.443114,59.920975,Будапештская,3,30.36382,59.873704000000004,2525.5
169,Бадаева,11,30.443114,59.920975,Вавиловых,14,30.390563,60.024752,3317.5
170,Бадаева,11,30.443114,59.920975,Динамо пр.,3,30.279864,59.972699,3653.5
171,Бадаева,11,30.443114,59.920975,Загородный просп.,47,30.321195,59.921804,2378.1111111111113
172,Бадаева,11,30.443114,59.920975,Костюшко,2,30.295701,59.849212,3732.8333333333335
173,Бадаева,11,30.443114,59.920975,Кузнецовская,25,30.332577,59.87143199999999,2637.5
174,Бадаева,11,30.443114,59.920975,Литейный просп.,56,30.349456,59.935069999999996,2536.277777777778
175,Бадаева,11,30.443114,59.920975,Луначарского пр.,47,30.360164,60.036281,3443.5555555555557
176,Бадаева,11,30.443114,59.920975,Льва Толстого,6/8,30.321859999999997,59.965309,2386.8888888888887
177,Бадаева,11,30.443114,59.920975,Мечникова пр.,27,30.410891999999997,59.986982999999995,2490.1666666666665
178,Бадаева,11,30.443114,59.920975,Народная,21,30.468124,59.879137,1396.2222222222222
179,Бадаева,11,30.443114,59.920975,Оптиков,54,30.199033,60.000713,4058.4444444444443
180,Бадаева,11,30.443114,59.920975,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2133.6111111111113
181,Бадаева,11,30.443114,59.920975,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,5014.5
182,Бадаева,11,30.443114,59.920975,Солидарности просп.,4,30.490114000000002,59.92828000000001,1070.5555555555557
183,Бадаева,11,30.443114,59.920975,Учебный пер.,5,30.336763,60.037252,3694.4444444444443
184,Бадаева,11,30.443114,59.920975,наб. реки Фонтанки,154,30.28255,59.915765,3186.5555555555557
185,Бармалеева,13,30.305735,59.964503,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1053.8333333333333
186,Бармалеева,13,30.305735,59.964503,Будапештская,3,30.36382,59.873704000000004,4477.888888888889
187,Бармалеева,13,30.305735,59.964503,Вавиловых,14,30.390563,60.024752,3180.9444444444443
188,Бармалеева,13,30.305735,59.964503,Динамо пр.,3,30.279864,59.972699,956.8333333333334
189,Бармалеева,13,30.305735,59.964503,Загородный просп.,47,30.321195,59.921804,2548.6111111111113
190,Бармалеева,13,30.305735,59.964503,Костюшко,2,30.295701,59.849212,4402.777777777777
191,Бармалеева,13,30.305735,59.964503,Кузнецовская,25,30.332577,59.87143199999999,3964.8333333333335
192,Бармалеева,13,30.305735,59.964503,Литейный просп.,56,30.349456,59.935069999999996,1865.5
