№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
58,Аллея Поликарпова,5,30.289485,60.008878,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1590.625
59,Аллея Поликарпова,5,30.289485,60.008878,Будапештская,3,30.36382,59.873704000000004,2862.0
60,Аллея Поликарпова,5,30.289485,60.008878,Вавиловых,14,30.390563,60.024752,1439.5
61,Аллея Поликарпова,5,30.289485,60.008878,Динамо пр.,3,30.279864,59.972699,1068.375
62,Аллея Поликарпова,5,30.289485,60.008878,Загородный просп.,47,30.321195,59.921804,1803.875
63,Аллея Поликарпова,5,30.289485,60.008878,Костюшко,2,30.295701,59.849212,2985.375
64,Аллея Поликарпова,5,30.289485,60.008878,Кузнецовская,25,30.332577,59.87143199999999,2605.625
65,Аллея Поликарпова,5,30.289485,60.008878,Литейный просп.,56,30.349456,59.935069999999996,1477.875
66,Аллея Поликарпова,5,30.289485,60.008878,Луначарского пр.,47,30.360164,60.036281,1514.125
67,Аллея Поликарпова,5,30.289485,60.008878,Льва Толстого,6/8,30.321859999999997,59.965309,1272.875
68,Аллея Поликарпова,5,30.289485,60.008878,Мечникова пр.,27,30.410891999999997,59.986982999999995,1381.625
69,Аллея Поликарпова,5,30.289485,60.008878,Народная,21,30.468124,59.879137,2385.75
70,Аллея Поликарпова,5,30.289485,60.008878,Оптиков,54,30.199033,60.000713,1244.5
71,Аллея Поликарпова,5,30.289485,60.008878,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1712.25
72,Аллея Поликарпова,5,30.289485,60.008878,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2353.0
73,Аллея Поликарпова,5,30.289485,60.008878,Учебный пер.,5,30.336763,60.037252,1410.125
74,Аллея Поликарпова,5,30.289485,60.008878,наб. реки Фонтанки,154,30.28255,59.915765,1907.125
75,Антонова-Овсеенко,21,30.473019,59.908922,Аккуратова,2,30.301594,60.015377,2121.75
76,Антонова-Овсеенко,21,30.473019,59.908922,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2208.75
77,Антонова-Овсеенко,21,30.473019,59.908922,Будапештская,3,30.36382,59.873704000000004,1586.75
78,Антонова-Овсеенко,21,30.473019,59.908922,Вавиловых,14,30.390563,60.024752,1933.0
79,Антонова-Овсеенко,21,30.473019,59.908922,Динамо пр.,3,30.279864,59.972699,2257.875
80,Антонова-Овсеенко,21,30.473019,59.908922,Загородный просп.,47,30.321195,59.921804,1544.875
81,Антонова-Овсеенко,21,30.473019,59.908922,Костюшко,2,30.295701,59.849212,1980.875
82,Антонова-Овсеенко,21,30.473019,59.908922,Кузнецовская,25,30.332577,59.87143199999999,1626.5
83,Антонова-Овсеенко,21,30.473019,59.908922,Литейный просп.,56,30.349456,59.935069999999996,1269.75
