№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
1,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Большой просп. ВО,85,30.250614000000002,59.930178000000005,465.57142857142856
2,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Вавиловых,14,30.390563,60.024752,2329.0
3,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Динамо пр.,3,30.279864,59.972699,1010.0
4,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Костюшко,2,30.295701,59.849212,1993.142857142857
5,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Кузнецовская,25,30.332577,59.87143199999999,1836.4285714285713
6,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Луначарского пр.,47,30.360164,60.036281,2299.0
7,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Льва Толстого,6/8,30.321859999999997,59.965309,975.0
8,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Мечникова пр.,27,30.410891999999997,59.986982999999995,1820.0
9,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Оптиков,54,30.199033,60.000713,2312.0
10,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1711.0
11,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3205.0
12,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Солидарности просп.,4,30.490114000000002,59.92828000000001,2255.0
13,12-я линия В.О.,35,30.269990999999997,59.942195999999996,Учебный пер.,5,30.336763,60.037252,2219.0
14,12-я линия В.О.,35,30.269990999999997,59.942195999999996,наб. реки Фонтанки,154,30.28255,59.915765,954.0
15,18-я линия В.О.,23,30.266856,59.936178000000005,Большой просп. ВО,85,30.250614000000002,59.930178000000005,348.77777777777777
16,18-я линия В.О.,23,30.266856,59.936178000000005,Будапештская,3,30.36382,59.873704000000004,2216.3333333333335
17,18-я линия В.О.,23,30.266856,59.936178000000005,Вавиловых,14,30.390563,60.024752,2383.8333333333335
18,18-я линия В.О.,23,30.266856,59.936178000000005,Динамо пр.,3,30.279864,59.972699,1138.0833333333333
19,18-я линия В.О.,23,30.266856,59.936178000000005,Загородный просп.,47,30.321195,59.921804,1173.2222222222222
20,18-я линия В.О.,23,30.266856,59.936178000000005,Костюшко,2,30.295701,59.849212,2011.1666666666667
21,18-я линия В.О.,23,30.266856,59.936178000000005,Кузнецовская,25,30.332577,59.87143199999999,1861.388888888889
22,18-я линия В.О.,23,30.266856,59.936178000000005,Литейный просп.,56,30.349456,59.935069999999996,1096.6666666666667
23,18-я линия В.О.,23,30.266856,59.936178000000005,Луначарского пр.,47,30.360164,60.036281,2394.277777777778
24,18-я линия В.О.,23,30.266856,59.936178000000005,Льва Толстого,6/8,30.321859999999997,59.965309,1079.611111111111
25,18-я линия В.О.,23,30.266856,59.936178000000005,Мечникова пр.,27,30.410891999999997,59.986982999999995,1912.8333333333333
26,18-я линия В.О.,23,30.266856,59.936178000000005,Народная,21,30.468124,59.879137,2232.5555555555557
27,18-я линия В.О.,23,30.266856,59.936178000000005,Оптиков,54,30.199033,60.000713,2426.0555555555557
28,18-я линия В.О.,23,30.266856,59.936178000000005,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1796.388888888889
29,18-я линия В.О.,23,30.266856,59.936178000000005,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3379.3888888888887
30,18-я линия В.О.,23,30.266856,59.936178000000005,Солидарности просп.,4,30.490114000000002,59.92828000000001,2290.8333333333335
31,18-я линия В.О.,23,30.266856,59.936178000000005,Учебный пер.,5,30.336763,60.037252,2297.222222222222
32,18-я линия В.О.,23,30.266856,59.936178000000005,наб. реки Фонтанки,154,30.28255,59.915765,974.0555555555555
33,2-я Советская,17,30.368096,59.931647999999996,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1291.142857142857
34,2-я Советская,17,30.368096,59.931647999999996,Будапештская,3,30.36382,59.873704000000004,1428.2777777777778
35,2-я Советская,17,30.368096,59.931647999999996,Вавиловых,14,30.390563,60.024752,2009.2777777777778
36,2-я Советская,17,30.368096,59.931647999999996,Динамо пр.,3,30.279864,59.972699,1590.0555555555557
37,2-я Советская,17,30.368096,59.931647999999996,Загородный просп.,47,30.321195,59.921804,682.7777777777778
38,2-я Советская,17,30.368096,59.931647999999996,Костюшко,2,30.295701,59.849212,1742.6666666666667
39,2-я Советская,17,30.368096,59.931647999999996,Кузнецовская,25,30.332577,59.87143199999999,1179.611111111111
40,2-я Советская,17,30.368096,59.931647999999996,Литейный просп.,56,30.349456,59.935069999999996,342.3333333333333
41,2-я Советская,17,30.368096,59.931647999999996,Луначарского пр.,47,30.360164,60.036281,2112.722222222222
42,2-я Советская,17,30.368096,59.931647999999996,Льва Толстого,6/8,30.321859999999997,59.965309,1147.3333333333333
43,2-я Советская,17,30.368096,59.931647999999996,Мечникова пр.,27,30.410891999999997,59.986982999999995,1259.0555555555557
44,2-я Советская,17,30.368096,59.931647999999996,Народная,21,30.468124,59.879137,1135.3333333333333
45,2-я Советская,17,30.368096,59.931647999999996,Оптиков,54,30.199033,60.000713,1926.8333333333333
46,2-я Советская,17,30.368096,59.931647999999996,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1137.7777777777778
47,2-я Советская,17,30.368096,59.931647999999996,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2862.9444444444443
48,2-я Советская,17,30.368096,59.931647999999996,Солидарности просп.,4,30.490114000000002,59.92828000000001,1230.6666666666667
49,2-я Советская,17,30.368096,59.931647999999996,Учебный пер.,5,30.336763,60.037252,2113.777777777778
50,2-я Советская,17,30.368096,59.931647999999996,наб. реки Фонтанки,154,30.28255,59.915765,1041.5
51,Авиаконструкторов пр.,49,30.223611,60.027898,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2318.6666666666665
52,Авиаконструкторов пр.,49,30.223611,60.027898,Будапештская,3,30.36382,59.873704000000004,3286.6111111111113
53,Авиаконструкторов пр.,49,30.223611,60.027898,Вавиловых,14,30.390563,60.024752,2082.6666666666665
54,Авиаконструкторов пр.,49,30.223611,60.027898,Динамо пр.,3,30.279864,59.972699,1784.1666666666667
55,Авиаконструкторов пр.,49,30.223611,60.027898,Загородный просп.,47,30.321195,59.921804,2219.3333333333335
56,Авиаконструкторов пр.,49,30.223611,60.027898,Костюшко,2,30.295701,59.849212,3523.9444444444443
57,Авиаконструкторов пр.,49,30.223611,60.027898,Кузнецовская,25,30.332577,59.87143199999999,3055.5555555555557
58,Авиаконструкторов пр.,49,30.223611,60.027898,Литейный просп.,56,30.349456,59.935069999999996,1899.7222222222222
59,Авиаконструкторов пр.,49,30.223611,60.027898,Луначарского пр.,47,30.360164,60.036281,2161.9444444444443
60,Авиаконструкторов пр.,49,30.223611,60.027898,Льва Толстого,6/8,30.321859999999997,59.965309,1726.7777777777778
61,Авиаконструкторов пр.,49,30.223611,60.027898,Мечникова пр.,27,30.410891999999997,59.986982999999995,2043.3333333333333
62,Авиаконструкторов пр.,49,30.223611,60.027898,Народная,21,30.468124,59.879137,2647.0555555555557
63,Авиаконструкторов пр.,49,30.223611,60.027898,Оптиков,54,30.199033,60.000713,1351.8333333333333
64,Авиаконструкторов пр.,49,30.223611,60.027898,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2318.8333333333335
65,Авиаконструкторов пр.,49,30.223611,60.027898,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2476.4444444444443
66,Авиаконструкторов пр.,49,30.223611,60.027898,Учебный пер.,5,30.336763,60.037252,2066.5555555555557
67,Авиаконструкторов пр.,49,30.223611,60.027898,наб. реки Фонтанки,154,30.28255,59.915765,2525.777777777778
68,Аллея Поликарпова,5,30.289485,60.008878,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1615.2777777777778
69,Аллея Поликарпова,5,30.289485,60.008878,Будапештская,3,30.36382,59.873704000000004,2858.0555555555557
70,Аллея Поликарпова,5,30.289485,60.008878,Вавиловых,14,30.390563,60.024752,1450.611111111111
71,Аллея Поликарпова,5,30.289485,60.008878,Динамо пр.,3,30.279864,59.972699,1079.8333333333333
72,Аллея Поликарпова,5,30.289485,60.008878,Загородный просп.,47,30.321195,59.921804,1791.4444444444443
73,Аллея Поликарпова,5,30.289485,60.008878,Костюшко,2,30.295701,59.849212,2960.8888888888887
74,Аллея Поликарпова,5,30.289485,60.008878,Кузнецовская,25,30.332577,59.87143199999999,2531.277777777778
75,Аллея Поликарпова,5,30.289485,60.008878,Литейный просп.,56,30.349456,59.935069999999996,1470.111111111111
76,Аллея Поликарпова,5,30.289485,60.008878,Луначарского пр.,47,30.360164,60.036281,1530.4444444444443
77,Аллея Поликарпова,5,30.289485,60.008878,Льва Толстого,6/8,30.321859999999997,59.965309,1284.2777777777778
78,Аллея Поликарпова,5,30.289485,60.008878,Мечникова пр.,27,30.410891999999997,59.986982999999995,1409.611111111111
79,Аллея Поликарпова,5,30.289485,60.008878,Народная,21,30.468124,59.879137,2375.0555555555557
80,Аллея Поликарпова,5,30.289485,60.008878,Оптиков,54,30.199033,60.000713,1279.9444444444443
81,Аллея Поликарпова,5,30.289485,60.008878,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1723.111111111111
82,Аллея Поликарпова,5,30.289485,60.008878,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2385.3333333333335
83,Аллея Поликарпова,5,30.289485,60.008878,Учебный пер.,5,30.336763,60.037252,1434.0
