№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
77,Антонова-Овсеенко,21,30.473019,59.908922,Будапештская,3,30.36382,59.873704000000004,2442.125
78,Антонова-Овсеенко,21,30.473019,59.908922,Вавиловых,14,30.390563,60.024752,2808.0
79,Антонова-Овсеенко,21,30.473019,59.908922,Динамо пр.,3,30.279864,59.972699,3069.25
80,Антонова-Овсеенко,21,30.473019,59.908922,Загородный просп.,47,30.321195,59.921804,2282.75
81,Антонова-Овсеенко,21,30.473019,59.908922,Костюшко,2,30.295701,59.849212,2758.875
82,Антонова-Овсеенко,21,30.473019,59.908922,Кузнецовская,25,30.332577,59.87143199999999,2538.5
83,Антонова-Овсеенко,21,30.473019,59.908922,Литейный просп.,56,30.349456,59.935069999999996,2132.0
84,Антонова-Овсеенко,21,30.473019,59.908922,Луначарского пр.,47,30.360164,60.036281,2947.5
85,Антонова-Овсеенко,21,30.473019,59.908922,Льва Толстого,6/8,30.321859999999997,59.965309,2308.125
86,Антонова-Овсеенко,21,30.473019,59.908922,Мечникова пр.,27,30.410891999999997,59.986982999999995,2033.75
87,Антонова-Овсеенко,21,30.473019,59.908922,Народная,21,30.468124,59.879137,1341.875
88,Антонова-Овсеенко,21,30.473019,59.908922,Оптиков,54,30.199033,60.000713,3207.125
89,Антонова-Овсеенко,21,30.473019,59.908922,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1685.25
90,Антонова-Овсеенко,21,30.473019,59.908922,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,4437.25
91,Антонова-Овсеенко,21,30.473019,59.908922,Солидарности просп.,4,30.490114000000002,59.92828000000001,683.5
92,Антонова-Овсеенко,21,30.473019,59.908922,Учебный пер.,5,30.336763,60.037252,3152.625
93,Антонова-Овсеенко,21,30.473019,59.908922,наб. реки Фонтанки,154,30.28255,59.915765,2814.875
94,Апрельская,5,30.416749,59.962967000000006,Аккуратова,2,30.301594,60.015377,2204.875
95,Апрельская,5,30.416749,59.962967000000006,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1996.875
96,Апрельская,5,30.416749,59.962967000000006,Будапештская,3,30.36382,59.873704000000004,2322.5
97,Апрельская,5,30.416749,59.962967000000006,Вавиловых,14,30.390563,60.024752,1691.75
98,Апрельская,5,30.416749,59.962967000000006,Динамо пр.,3,30.279864,59.972699,1784.25
99,Апрельская,5,30.416749,59.962967000000006,Загородный просп.,47,30.321195,59.921804,1743.75
100,Апрельская,5,30.416749,59.962967000000006,Костюшко,2,30.295701,59.849212,3035.0
101,Апрельская,5,30.416749,59.962967000000006,Кузнецовская,25,30.332577,59.87143199999999,2115.625
102,Апрельская,5,30.416749,59.962967000000006,Литейный просп.,56,30.349456,59.935069999999996,1257.0
103,Апрельская,5,30.416749,59.962967000000006,Луначарского пр.,47,30.360164,60.036281,1844.625
104,Апрельская,5,30.416749,59.962967000000006,Льва Толстого,6/8,30.321859999999997,59.965309,1107.75
105,Апрельская,5,30.416749,59.962967000000006,Мечникова пр.,27,30.410891999999997,59.986982999999995,698.125
106,Апрельская,5,30.416749,59.962967000000006,Народная,21,30.468124,59.879137,1363.5
107,Апрельская,5,30.416749,59.962967000000006,Оптиков,54,30.199033,60.000713,1997.375
108,Апрельская,5,30.416749,59.962967000000006,Пискаревский просп.,47,30.431328999999998,59.983422999999995,556.375
109,Апрельская,5,30.416749,59.962967000000006,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2916.375
110,Апрельская,5,30.416749,59.962967000000006,Солидарности просп.,4,30.490114000000002,59.92828000000001,1379.0
111,Апрельская,5,30.416749,59.962967000000006,Учебный пер.,5,30.336763,60.037252,2035.625
112,Апрельская,5,30.416749,59.962967000000006,наб. реки Фонтанки,154,30.28255,59.915765,2118.875
113,Асафьева,12,30.328785999999997,60.04866,Аккуратова,2,30.301594,60.015377,1764.5
114,Асафьева,12,30.328785999999997,60.04866,Большой просп. ВО,85,30.250614000000002,59.930178000000005,3473.5
115,Асафьева,12,30.328785999999997,60.04866,Будапештская,3,30.36382,59.873704000000004,5029.5
116,Асафьева,12,30.328785999999997,60.04866,Вавиловых,14,30.390563,60.024752,1594.5
117,Асафьева,12,30.328785999999997,60.04866,Динамо пр.,3,30.279864,59.972699,2769.5
